Database,ParentGlobalID,SiteName,Assessors,Recorder,QA,CollectionDate,CreationDate,Creator,EditDate,Lat_field,Long_field,Weather,PctCloudCover,Disturbances,Disturbances_details,Bankwidth_0,Bankwidth_15,Bankwidth_30,ReachLength_targ,ReachLength_actual,Slope,Landuse,Lanuse_Notes,Riparian_yn,ErosionDeposition_yn,FloodplainConnectivity_yn,SurfaceFlow_pct,SurfaceSubsurfaceFlow_pct,IsolatedPools_number,SeepsSprings_yn,WaterInChannel_score,WaterInChannel_notes,HydricSoils_score,HydricSoils_locations,HydricSoils_notes,WoodyJams_number,WoodyJams_source,WoodyJams_notes,UplandRootedPlants_score,UplandRootedPlants_notes,SedimentOnPlantsDebris_score,SedimentOnPlantsDebris_notes,SoilMoisture1,SoilMoisture2,SoilMoisture3,SoilTexture1,SoilTexture2,SoilTexture3,Sinuosity_score,Sinuousity_method,Sinuosiy_notes,ChannelDimensions_score,ChannelDimensions_method,RifflePoolSeq_score,RifflePoolSeq_notes,SubstrateSorting_score,SubstrateSorting_notes,Fish_score,BMI_score,Algae_score,Mosquitofish,Vertebrate_notes,IOFB_yn,Snakes_yn,Snakes_abundance,Turtles_yn,Turtles_abundance,Amphibians_yn,Amphibians_abundance,FrogVocalizations_yn,BiologicalIndicators_notes,AlgalCover_Live,AlgalCover_Dead,AlgalCover_Upstream,AlgalCover_notes,dens_UU,dens_UL,dens_UR,dens_UD,dens_MU,dens_ML,dens_MR,dens_MD,dens_DU,dens_DL,dens_DR,dens_DD,Moss_cover,Liverwort_cover,Bryophyte_notes,DifferencesInVegetation_score,DifferencesInVegetation_notes,NWPL_checklist,Additional_notes,PctCover,SiteCode_Original,SiteCode,CalcTime
FlowDuration004,fa505b88-f615-4fdc-aff4-fd98e32ee106,Rio Grande Del Rancho near Talpa,Matt robinson and emma haines,Not recorded,Not recorded,2019-07-23T06:00:00Z,2019-07-25T22:47:25Z,NA,2019-07-25T22:47:25Z,36.30290117,-105.5812572,cloudy,20,discharges,1 culvert,5.8,5,4.8,182,200,2,other_natural,2 lane road,yes,yes,yes,100,NA,NA,notdectected,6,NA,3,2,NA,0,yes,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,2,visual estimate,NA,3,visual estimate,3,NA,3,NA,1,3,3,no,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,>40%,notdetected,NA,NA,11,17,11,9,0,0,2,0,0,1,0,0,>10%,notdetected,NA,3,NA,westmountains,Swampland downstream,NA,USGS8275500,NMWM1314,2021-08-05T23:09:55Z
FlowDuration004,43856fcc-d0d5-4493-b240-fc10537f7cfa,Wells Gulch,Raphael Mazor and Julie Kelso,Not recorded,Not recorded,2019-07-27T14:25:12Z,2019-07-27T15:17:31Z,NA,2019-07-29T16:13:01Z,40.57598617,-105.179707,cloudy,90,other,"There’s a rock wall near top of reach, likely decades oldz and a bridge trail crossing at bottom of reach",3,2.3,1,73.5,84,11.2,other_natural,State park trail,yes,no,no,0,0,0,notdectected,0,NA,0,NA,NA,0,yes,NA,0,NA,0,NA,partiallydry,partiallydry,partiallydry,sandyclay,sandyloam,sandyclay,1,visual estimate,NA,0.75,visual estimate,2,NA,1.5,Big boulders,0,0,0,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,notdetected,notdetected,NA,NA,12,4,8,9,17,17,17,17,6,17,0,3,<2%,notdetected,NA,0.5,NA,westmountains,Logger #20 at bottom of reach. Looking downstream pine trees on river right. Only one rebar installed with logger. 1.3 meters from both banks,NA,LSP11 (not LSP13),COWM0929,2021-08-05T23:09:55Z
FlowDuration004,e8a7545c-1e88-4453-8a27-f0146d185bf5,Nott Creek at Rifleman Philip's Campground Road,Raphael Mazor and Julie Kelso,Not recorded,Not recorded,2019-07-27T07:00:00Z,2019-07-29T16:59:45Z,NA,2019-07-29T16:59:45Z,39.86667,-105.40366,steadyrain,NA,other,"There is a road crossing, and road runoff from both sides",1.2,0.9,1,36.16666667,40,5,forested,NA,yes,yes,yes,100,NA,NA,notdectected,6,NA,0,3,Sandy,1,yes,"Many jams nearly meet the definition. Channel is a bit narrow, so lots of wood falls and spans creek without blocking flow",3,NA,0,NA,NA,NA,NA,NA,NA,NA,2,visual estimate,NA,3,visual estimate,2,NA,3,NA,0,3,0,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,notdetected,notdetected,NA,NA,15,16,13,17,12,16,17,17,13,11,9,10,notdetected,notdetected,NA,3,NA,westmountains,A large ephemeral stream caused by road runoff enters downstream of site. It was flowing during sampliong due to large rain event that began during sampling.,NA,RP1,COWM1029,2021-08-05T23:09:55Z
FlowDuration004,748a583e-3f17-41ab-9da0-52ce5caf38bf,Arthur rock trail junction,E Haines M. Robinson,Not recorded,Not recorded,2019-07-26T06:00:00Z,2019-07-30T03:49:23Z,NA,2019-07-30T03:49:23Z,40.56435824,-105.1762741,clearsunny,NA,other,Trail,2.9,1.2,1,59.5,68,8,"forested,other_natural",NA,yes,yes,no,0,5,1,notdectected,1,NA,0,3,NA,0,yes,NA,1.5,NA,0,NA,dry,dry,dry,NA,NA,NA,1.5,visual estimate,NA,0.75,visual estimate,3,NA,3,NA,0,1,2,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,notdetected,2-10%,no,NA,15,7,14,4,17,17,17,17,15,16,16,14,2-10%,notdetected,NA,1.5,NA,westmountains,NA,NA,LSP16,COWM0940,2021-08-05T23:09:55Z
FlowDuration004,49fbd2cf-8701-4faf-b1ae-e71ec2160c27,Hewlett gulch,"Megan, Jess",Not recorded,Not recorded,2019-07-26T06:00:00Z,2019-07-30T03:51:55Z,NA,2019-07-30T03:51:55Z,40.69159356,-105.3109323,cloudy,100,other,Trail in stream,1.85,3.9,1.3,82.25,94,4.6,"forested,other_describe",Recreation,yes,no,yes,100,NA,NA,notdectected,6,NA,0,3,NA,0,yes,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,1,visual estimate,NA,2,visual estimate,3,NA,3,NA,1,3,3,no,Fish after survey,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,>40%,notdetected,NA,NA,17,17,17,17,15,17,9,17,9,17,9,15,notdetected,notdetected,NA,3,NA,westmountains,NA,NA,Hewlett gulch,COWM0862,2021-08-05T23:09:55Z
FlowDuration004,b889b004-be42-4734-8cf6-0d49a905b5d7,San Antonio River At Ortiz. Co,Megan R and Jessica T,Not recorded,Not recorded,2019-07-27T06:00:00Z,2019-07-30T03:56:05Z,NA,2019-07-30T03:56:05Z,36.99298055,-106.0384785,stormheavyrain,NA,"steammods,diversions,other","Metal wires a bit above water, man made pipe damn",7.95,6.45,7.85,259.5833333,200,4,other_natural,Road,yes,yes,no,100,NA,NA,notdectected,6,NA,0,3,NA,0,yes,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,0.5,visual estimate,NA,0.5,visual estimate,0.5,NA,0,NA,1,2,0,no,NA,notdectected,present,NA,notdectected,NA,notdectected,NA,notdectected,NA,notdetected,notdetected,NA,NA,0,0,4,2,5,7,4,6,0,0,0,0,notdetected,notdetected,NA,2,NA,westmountains,NA,NA,USGS8247500,NMWM1300,2021-08-05T23:09:55Z
FlowDuration004,c5ec404d-bb29-4f4e-82c7-f1c25430f175,Bootlegger’s Bottom,Raphael Mazor and Julie Kelso,Not recorded,Not recorded,2019-07-27T17:36:00Z,2019-07-31T17:52:39Z,NA,2019-07-31T17:52:39Z,39.859554,-105.445108,steadyrain,NA,other,Trail crossing upstream of site,1,1,1,35,40,13,forested,NA,yes,yes,yes,30,100,0,present,2,Dry swale in lower half of reach,0,3,NA,0,yes,NA,1,Aspens and grasses dominate swale,0,NA,NA,NA,NA,NA,NA,NA,0.5,visual estimate,NA,3,visual estimate,0.5,Only evident outside swale,0.75,Only evident outside swale,0,1,1,NA,Algae restricted to tiny backwater at top of reach,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,<2%,notdetected,NA,Algae evident in backwater near top of reach,11,10,6,14,17,15,17,12,15,4,14,16,notdetected,notdetected,Non streamer pleurocarps evident,1.5,Only outside swaley portion,westmountains,NA,NA,BB1,COWM1030,2021-08-05T23:09:55Z
FlowDuration004,bf8e6b54-8856-455a-b98c-bec6c932c713,North Fork Dry Fork,"M. Rodenbeck, J.Turner",Not recorded,Not recorded,2019-07-30T06:00:00Z,2019-07-31T21:25:52Z,NA,2019-07-31T21:25:52Z,38.28971579,-107.21208,cloudy,10,NA,None,1.7,1.9,1.7,61.83333333,70.6,2.42,agricultural,Grazing cows,yes,yes,yes,100,NA,NA,notdectected,6,NA,0,3,NA,1,yes,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,1,visual estimate,NA,2.25,visual estimate,2,Rocks similar sizes in pools and riffles,1.5,NA,0,3,3,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,>40%,notdetected,NA,NA,17,16,16,17,16,17,17,17,16,15,16,16,>10%,notdetected,"Streamer mosses or algae, can’t tell",3,NA,westmountains,NA,NA,Reynolds_57,COWM1368,2021-08-05T23:09:55Z
FlowDuration004,cb632178-6f30-4354-a607-5d56b2127a42,Verdure creek,"M.Rodenbeck, J. Turner",Not recorded,Not recorded,2019-08-04T18:00:00Z,2019-08-05T04:37:38Z,mrodenbeck1,2019-08-05T04:37:38Z,41.05179621,-109.2212093,cloudy,50,NA,None,0.8,0.85,0.9,29.75,34,2,other_natural,NA,yes,yes,yes,100,NA,NA,notdectected,6,NA,3,10,NA,0,NA,NA,2.5,NA,0,NA,NA,NA,NA,NA,NA,NA,1.5,visual estimate,NA,2.25,visual estimate,0.5,NA,0,NA,0,3,1,NA,NA,present,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,<2%,notdetected,NA,NA,2,0,9,7,3,2,2,4,5,3,1,2,notdetected,notdetected,NA,3,NA,westmountains,NA,NA,Reynolds_47,WYWM0749,2021-08-05T23:09:55Z
FlowDuration004,eb1ecd0b-a9ca-4aa9-b6a7-4a3a51e98199,Recapture creek,"M. Rodenbeck, J. Turner",Not recorded,Not recorded,2019-08-04T18:00:00Z,2019-08-05T04:37:49Z,mrodenbeck1,2019-08-05T04:37:49Z,41.03337367,-109.2263541,cloudy,30,NA,None,5.9,9.59,9.95,296.8,200,3,other_natural,NA,yes,yes,no,100,NA,NA,notdectected,6,NA,3,2,NA,0,yes,NA,0.5,NA,0,NA,NA,NA,NA,NA,NA,NA,0,visual estimate,NA,0,visual estimate,0,NA,0,NA,0,1,3,NA,Biofilm,present,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,notdetected,notdetected,NA,NA,0,0,2,2,6,9,8,11,7,5,1,8,<2%,notdetected,NA,2,NA,westmountains,NA,NA,Reynolds_46,WYWM0754,2021-08-05T23:09:55Z
FlowDuration004,28a4a76e-a208-494c-9ac4-48c256203ae4,South Sand Wash,"M.Rodenbeck, J. Turner",Not recorded,Not recorded,2019-08-03T18:00:00Z,2019-08-05T04:38:04Z,mrodenbeck1,2019-08-05T04:38:04Z,41.24225719,-109.2319825,cloudy,100,NA,None,0.8,0.55,0.5,21.58333333,30,1,"agricultural,other_natural",Cows,yes,no,yes,100,NA,NA,notdectected,6,NA,3,1,NA,0,no,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,3,visual estimate,NA,1.5,visual estimate,1,NA,0,NA,0,1,3,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,>40%,notdetected,NA,NA,0,0,2,1,15,15,17,17,15,16,13,17,notdetected,notdetected,NA,2.5,NA,westmountains,NA,NA,Reynolds_48,WYWM0774,2021-08-05T23:09:55Z
FlowDuration004,3bdf9321-722e-4b15-9080-c965c5f24848,Sulphur creek,"M.Rodenbeck, J. Turner",Not recorded,Not recorded,2019-08-03T18:00:00Z,2019-08-05T04:38:18Z,mrodenbeck1,2019-08-05T04:38:18Z,41.12993843,-110.8065941,cloudy,90,"diversions,other","Private property , dam",5.95,6.3,5.9,211.75,200,1.5,agricultural,"Rangeland, cows",yes,yes,no,100,NA,NA,notdectected,6,NA,3,1,Very close to surface and all through bottom of channel,0,NA,NA,3,Rooted hydrophytic plants present,0,NA,NA,NA,NA,NA,NA,NA,2,visual estimate,NA,0.75,visual estimate,3,NA,2.25,NA,0,2,3,NA,NA,present,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,>40%,<2%,no,NA,0,0,0,0,0,0,0,0,0,0,0,0,2-10%,notdetected,NA,2,NA,westmountains,NA,NA,USGS10015700,WYWM1540,2021-08-05T23:09:55Z
FlowDuration004,6c4c6810-7b60-46d4-b81a-96534f8475ea,Mill creek,"M. Rodenbeck, J. Turner",Not recorded,Not recorded,2019-08-01T18:00:00Z,2019-08-05T04:38:38Z,mrodenbeck1,2019-08-05T04:38:38Z,39.8247702,-106.21461,cloudy,80,NA,None,0.65,0.95,0.75,27.41666667,30,9,"other_natural,forested",Recreation trails,no,yes,yes,50,50,0,notdectected,4,Flow between rocks,0,3,NA,2,NA,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,2,visual estimate,NA,2.25,visual estimate,3,NA,3,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdetected,notdetected,NA,NA,17,17,17,17,17,17,17,17,2,3,0,1,NA,NA,NA,1,NA,westmountains,NA,NA,54,COWM1361,2021-08-05T23:09:55Z
FlowDuration004,b06a532b-fd7d-4335-bbb9-3945b0ee78ee,NT Co-op creek,"M. Rodenbeck, J. Turner",Not recorded,Not recorded,2019-08-01T06:00:00Z,2019-08-05T04:38:54Z,mrodenbeck1,2019-08-05T04:38:54Z,39.36409431,-106.7413789,cloudy,100,NA,None,1,0.71,1.12,33.01666667,30,10,forested,NA,no,yes,yes,100,NA,NA,notdectected,6,NA,0,3,NA,1,yes,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,3,visual estimate,NA,1.5,visual estimate,3,NA,3,NA,0,2,2,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,2-10%,notdetected,NA,NA,17,17,17,17,16,17,16,17,17,16,17,17,notdetected,2-10%,NA,1,NA,westmountains,NA,NA,Reynolds_62,COWM1421,2021-08-05T23:09:55Z
FlowDuration004,3b971cc1-e11f-4f2f-8a52-46b8a367fb3a,Wolf creek,"M. Rodenbeck, J. Turner",Not recorded,Not recorded,2019-08-01T06:00:00Z,2019-08-05T04:39:10Z,mrodenbeck1,2019-08-05T04:39:10Z,39.35553194,-106.8191588,cloudy,100,NA,"None, dam downstream",1.6,1.7,0.98,49.93333333,52,9.5,"forested,other_describe","Recreation, fishing",yes,no,no,100,NA,NA,notdectected,6,NA,0,3,"Bed rock banks,hard to dig",0,yes,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,2,visual estimate,NA,0,visual estimate,3,NA,1.5,"All larger cobbles or bedrock, substrate very far beneath piles of rocks",0,2,0,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,2-10%,notdetected,NA,NA,17,17,17,17,9,8,13,4,6,16,11,10,2-10%,<2%,NA,2,NA,NA,NA,NA,61,COWM1156,2021-08-05T23:09:55Z
FlowDuration004,4194fc14-5a5d-4a6d-bf15-ee32ed00d43c,Buffalo fork river,"M. Rodenbeck, J. Turner",Not recorded,Not recorded,2019-08-07T18:00:00Z,2019-08-08T03:13:34Z,mrodenbeck1,2019-08-08T03:13:34Z,43.8379272,-110.4409573,cloudy,50,other,Bridge in reach,23.2,23,25,830.6666667,200,1,other_natural,NA,yes,yes,yes,100,NA,NA,notdectected,6,NA,0,3,NA,0,no,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,2,visual estimate,NA,2.25,visual estimate,2.5,NA,2.5,NA,2,3,3,no,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,>40%,notdetected,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,notdetected,notdetected,NA,2,NA,westmountains,NA,NA,USGS13011900,WYWM1510,2021-08-05T23:09:55Z
